uniqueid,dateofbite,species,breed,age,gender,spayneuter,borough,zipcode,year
153,2018-04-09,DOG,BOSTON TERRIER/CHIHUAHUA,6,F,True,Brooklyn,11201,2018
154,2018-04-09,DOG,German Shepherd Crossbreed,3,M,True,Brooklyn,11221,2018
155,2018-03-31,DOG,American Pit Bull Terrier/Pit Bull,,U,False,Brooklyn,11218,2018
156,2018-04-07,DOG,SHEPERD,,U,False,Brooklyn,0,2018
157,2018-04-08,DOG,MIXED BREED,3,M,True,Brooklyn,11238,2018
158,2018-04-09,DOG,Siberian Husky,1,M,True,Brooklyn,11238,2018
159,2018-04-10,DOG,Shih Tzu,6,M,True,Brooklyn,0,2018
160,2018-04-10,DOG,Pit Bull,,U,False,Brooklyn,11236,2018
161,2018-04-10,DOG,Maltese,10,F,True,Brooklyn,11223,2018
162,2018-04-02,DOG,MIXED,6,F,True,Brooklyn,11218,2018
163,2018-04-08,DOG,Yorkshire Terrier Crossbreed,6,M,False,Brooklyn,11221,2018
164,2018-04-07,DOG,BORDER COLLIE X,,M,False,Brooklyn,0,2018
165,2018-04-07,DOG,American Pit Bull Terrier/Pit Bull,1,M,False,Brooklyn,11230,2018
166,2018-04-14,DOG,Cane Corso,9,F,False,Brooklyn,11234,2018
167,2018-04-16,DOG,Dachshund Smooth Coat,12,F,True,Brooklyn,11249,2018
168,2018-04-16,DOG,Rottweiler,2,M,True,Brooklyn,11208,2018
169,2018-04-15,DOG,HOUND,,U,False,Brooklyn,11231,2018
170,2018-04-12,DOG,Pit Bull,,U,False,Brooklyn,11217,2018
171,2018-04-10,DOG,MALTESE/ SHIH TZU,1,M,True,Brooklyn,11201,2018
172,2018-04-18,DOG,American Pit Bull Terrier/Pit Bull,,U,False,Brooklyn,11207,2018
173,2018-04-18,DOG,American Pit Bull Terrier/Pit Bull,,U,False,Brooklyn,11236,2018
174,2018-04-18,DOG,MIXED,2,M,False,Brooklyn,11236,2018
175,2018-04-18,DOG,,,U,False,Brooklyn,0,2018
176,2018-04-19,DOG,American Pit Bull Mix / Pit Bull Mix,5,M,False,Brooklyn,11206,2018
177,2018-04-21,DOG,American Pit Bull Mix / Pit Bull Mix,3,M,False,Brooklyn,11231,2018
178,2018-04-23,DOG,Shih Tzu,7,M,False,Brooklyn,11229,2018
179,2018-04-19,DOG,German Shepherd,,U,False,Brooklyn,11233,2018
180,2018-04-23,DOG,MIXED,8,M,False,Brooklyn,11208,2018
181,2018-04-21,DOG,American Pit Bull Terrier/Pit Bull,,U,False,Brooklyn,11220,2018
182,2018-04-21,DOG,UNKNOWN,,U,False,Brooklyn,11238,2018
183,2018-04-23,DOG,German Shepherd,2,M,True,Brooklyn,11230,2018
184,2018-04-24,DOG,German Shepherd Crossbreed,8,M,True,Brooklyn,11226,2018
185,2018-04-24,DOG,American Pit Bull Terrier/Pit Bull,,U,False,Brooklyn,11209,2018
186,2018-04-18,DOG,UNKNOWN,,U,False,Brooklyn,11214,2018
187,2018-04-23,DOG,UNKNOWN,,U,False,Brooklyn,0,2018
188,2018-04-24,DOG,Pit Bull,,U,False,Brooklyn,11206,2018
189,2018-04-24,DOG,Pit Bull,,U,False,Brooklyn,0,2018
190,2018-04-18,DOG,Chihuahua,,U,False,Brooklyn,11221,2018
191,2018-04-25,DOG,SHIH TZU X,,U,False,Brooklyn,11233,2018
192,2018-04-26,DOG,Pit Bull,,U,False,Brooklyn,11238,2018
193,2018-04-02,DOG,LHASA APSO/POODLE X,5,F,True,Brooklyn,11210,2018
194,2018-04-29,DOG,Pit Bull,,U,False,Brooklyn,11233,2018
195,2018-04-27,DOG,MIXED BREED,5,M,False,Brooklyn,11203,2018
196,2018-04-25,DOG,ASIAN SHEPERD,2,M,True,Brooklyn,11204,2018
197,2018-05-01,DOG,German Shepherd,9M,M,True,Brooklyn,11230,2018
198,2018-04-29,DOG,MIXED,2,F,True,Brooklyn,11232,2018
199,2018-05-01,DOG,MIXED,,U,False,Brooklyn,0,2018
200,2018-04-14,DOG,Mixed/Other,4,M,False,Brooklyn,0,2018
201,2018-05-01,DOG,Golden Retriever,1,M,False,Brooklyn,11230,2018
202,2018-05-02,DOG,American Pit Bull Mix / Pit Bull Mix,4,F,False,Brooklyn,11220,2018
203,2018-05-02,DOG,American Pit Bull Terrier/Pit Bull,,U,False,Brooklyn,11213,2018
204,2018-05-02,DOG,Labrador Retriever Crossbreed,5,M,True,Brooklyn,11222,2018
205,2018-04-27,DOG,American Pit Bull Terrier/Pit Bull,,U,False,Brooklyn,11215,2018
206,2018-05-03,DOG,UNKNOWN,,U,False,Brooklyn,11234,2018
207,2018-05-07,DOG,American Pit Bull Mix / Pit Bull Mix,,M,False,Brooklyn,11224,2018
208,2018-05-05,DOG,,,U,False,Brooklyn,11204,2018
209,2018-05-05,DOG,UNKNOWN,,M,False,Brooklyn,11220,2018
210,2018-05-04,DOG,Yorkshire Terrier,15,M,True,Brooklyn,11214,2018
211,2018-05-07,DOG,PIT BULL/LAB X,8,F,False,Brooklyn,11203,2018
212,2018-04-27,DOG,Shiba Inu,,M,False,Brooklyn,0,2018
213,2018-05-07,DOG,Yorkshire Terrier,1,F,False,Brooklyn,11207,2018
214,2018-05-09,DOG,Bull dog,,U,False,Brooklyn,0,2018
215,2018-05-07,DOG,Pit Bull,,U,False,Brooklyn,11214,2018
216,2018-05-08,DOG,Rottweiler,1,M,True,Brooklyn,11236,2018
217,2018-05-01,DOG,German Shepherd Crossbreed,15,M,True,Brooklyn,11238,2018
218,2018-03-04,DOG,UNKNOWN,,U,False,Brooklyn,11206,2018
219,2018-05-10,DOG,Siberian Husky,,U,False,Brooklyn,11205,2018
220,2018-05-07,DOG,,,U,False,Brooklyn,0,2018
221,2018-05-09,DOG,AUSTRALIAN CATTLEDOG,6,F,True,Brooklyn,11226,2018
222,2018-05-10,DOG,Yorkshire Terrier Crossbreed,7,F,False,Brooklyn,11205,2018
223,2018-05-12,DOG,American Pit Bull Terrier/Pit Bull,,F,False,Brooklyn,11230,2018
224,2018-05-12,DOG,American Pit Bull Terrier/Pit Bull,,U,False,Brooklyn,11221,2018
225,2018-05-14,DOG,Beagle Crossbreed,4,M,True,Brooklyn,11225,2018
226,2018-05-12,DOG,"Bull Dog, French",2,M,True,Brooklyn,11235,2018
227,2018-05-15,DOG,MIXED BREED,8,M,False,Brooklyn,11208,2018
228,2018-05-09,DOG,UNKNOWN,,U,False,Brooklyn,11223,2018
229,2018-05-14,DOG,UNKNOWN,,U,False,Brooklyn,11210,2018
230,2018-05-14,DOG,Great Dane,,U,False,Brooklyn,11213,2018
231,2018-05-13,DOG,American Pit Bull Terrier/Pit Bull,,U,False,Brooklyn,11221,2018
232,2018-04-17,DOG,Cane Corso,1,F,False,Brooklyn,11236,2018
233,2018-05-17,DOG,Labrador Retriever Crossbreed,3,M,True,Brooklyn,11201,2018
234,2018-05-18,DOG,Pit Bull,,U,False,Brooklyn,11213,2018
235,2018-05-20,DOG,MIXED BREED,1,M,False,Brooklyn,11236,2018
236,2018-05-19,DOG,SPANIEL,,U,False,Brooklyn,11218,2018
237,2018-05-19,DOG,MIXED BREED,,U,False,Brooklyn,11226,2018
238,2018-05-20,DOG,American Pit Bull Terrier/Pit Bull,4,F,False,Brooklyn,11221,2018
239,2018-05-18,DOG,HUSKY,,U,False,Brooklyn,11221,2018
240,2018-05-22,DOG,Pit Bull,,U,False,Brooklyn,11213,2018
241,2018-05-22,DOG,Pit Bull,,U,False,Brooklyn,11226,2018
242,2018-05-20,DOG,UNKNOWN,,U,False,Brooklyn,11212,2018
243,2018-05-23,DOG,Cocker Spaniel,6,F,False,Brooklyn,11224,2018
244,2018-05-23,DOG,Pit Bull,,U,False,Brooklyn,11208,2018
245,2018-05-24,DOG,CHOW CHOW X,4,F,True,Brooklyn,11217,2018
246,2018-05-24,DOG,CHOW CHOW X,4,F,True,Brooklyn,11217,2018
247,2018-05-28,DOG,LARGE MIXED BREED,6,F,False,Brooklyn,11216,2018
248,2018-05-20,DOG,MIXED,,U,False,Brooklyn,11220,2018
249,2018-05-28,DOG,Pit Bull,,U,False,Brooklyn,0,2018
250,2018-05-26,DOG,AMERICAN BULLY,1,M,False,Brooklyn,11208,2018
251,2018-05-26,DOG,Shih Tzu,,U,False,Brooklyn,11221,2018
252,2018-05-26,DOG,MIXED BREED,,F,False,Brooklyn,11213,2018
253,2018-05-24,DOG,MIXED BREED,1,M,False,Brooklyn,11216,2018
254,2018-05-27,DOG,Golden Retriever,8,F,False,Brooklyn,0,2018
255,2018-05-26,DOG,UNCERTAIN,,U,False,Brooklyn,0,2018
256,2018-05-24,DOG,American Pit Bull Terrier/Pit Bull,5,M,True,Brooklyn,11212,2018
257,2018-06-01,DOG,American Pit Bull Mix / Pit Bull Mix,3,F,False,Brooklyn,11223,2018
258,2018-06-02,DOG,UNKNOWN,,U,False,Brooklyn,11221,2018
259,2018-06-02,DOG,UNKNOWN,,U,False,Brooklyn,0,2018
260,2018-06-02,DOG,Pit Bull,3,M,False,Brooklyn,11233,2018
261,2018-06-05,DOG,Mixed/Other,,U,False,Brooklyn,11209,2018
262,2018-06-01,DOG,ZUCHON,4,M,False,Brooklyn,11217,2018
263,2018-06-01,DOG,HOUND,2,M,True,Brooklyn,0,2018
264,2018-06-02,DOG,,,U,False,Brooklyn,0,2018
265,2018-06-02,DOG,Dachshund Smooth Coat,11,M,True,Brooklyn,11236,2018
266,2018-06-04,DOG,SMALL MIXED BREED,8,F,False,Brooklyn,11208,2018
267,2018-06-04,DOG,Pit Bull,,U,False,Brooklyn,11222,2018
268,2018-06-01,DOG,Pit Bull,,U,False,Brooklyn,11230,2018
269,2018-05-25,DOG,Beagle Crossbreed,,U,False,Brooklyn,11223,2018
270,2018-05-26,DOG,"Bull Dog, English",6,M,True,Brooklyn,11220,2018
271,2018-05-25,DOG,MIXED,,U,False,Brooklyn,11222,2018
272,2018-05-30,DOG,MEDIUM MIXED BREED,5,F,False,Brooklyn,11208,2018
273,2018-06-08,DOG,MEDIUM MIXED BREED,3,M,False,Brooklyn,11208,2018
274,2018-05-31,DOG,Boxer,,U,False,Brooklyn,11207,2018
275,2018-05-26,DOG,Shih Tzu,2,M,False,Brooklyn,11204,2018
276,2018-05-21,DOG,Pit Bull,,U,False,Brooklyn,11220,2018
277,2018-05-30,DOG,Shih Tzu,,U,False,Brooklyn,11238,2018
278,2018-06-06,DOG,Yorkshire Terrier Crossbreed,,U,False,Brooklyn,11234,2018
279,2018-06-12,DOG,Pit Bull,3,M,False,Brooklyn,11231,2018
280,2018-06-06,DOG,MALTESE BIGHON MIX WHITE,,U,False,Brooklyn,0,2018
281,2018-06-01,DOG,BORDER COLLIE MIX,6,M,True,Brooklyn,11217,2018
282,2018-06-10,DOG,Yorkshire Terrier,,U,False,Brooklyn,11201,2018
283,2018-06-02,DOG,American Pit Bull Mix / Pit Bull Mix,,U,False,Brooklyn,11225,2018
284,2018-06-14,DOG,TERRIER/MALTESE MIX,4,F,True,Brooklyn,11205,2018
285,2018-06-07,DOG,"Poodle, Standard",,U,False,Brooklyn,11207,2018
286,2018-05-31,DOG,Mixed/Other,,U,False,Brooklyn,11201,2018
287,2018-06-09,DOG,Pit Bull,,U,False,Brooklyn,11205,2018
288,2018-05-23,DOG,German Shepherd,4,M,False,Brooklyn,11234,2018
289,2018-05-30,DOG,SHIH POO,2,F,False,Brooklyn,11203,2018
290,2018-06-14,DOG,Pit Bull,,U,False,Brooklyn,11205,2018
291,2018-06-14,DOG,Pit Bull,,U,False,Brooklyn,11205,2018
292,2018-06-07,DOG,,,U,False,Brooklyn,0,2018
293,2018-06-09,DOG,Mixed/Other,5,F,False,Brooklyn,11238,2018
294,2018-06-14,DOG,UNKNOWN,,U,False,Brooklyn,11205,2018
295,2018-06-10,DOG,,,U,False,Brooklyn,11234,2018
296,2018-06-02,DOG,Maltese,6,F,False,Brooklyn,11224,2018
297,2018-06-16,DOG,Pit Bull,,U,False,Brooklyn,11236,2018
298,2018-06-04,DOG,American Pit Bull Mix / Pit Bull Mix,,U,False,Brooklyn,11224,2018
299,2018-06-12,DOG,MIXED BREED,,U,False,Brooklyn,11220,2018
300,2018-06-10,DOG,Maltese,,M,False,Brooklyn,11206,2018
301,2018-06-19,DOG,UNCERTAIN,,M,False,Brooklyn,11208,2018
302,2018-06-11,DOG,Shih Tzu,,U,False,Brooklyn,11218,2018
303,2018-06-06,DOG,Shih Tzu,,U,False,Brooklyn,11216,2018
304,2018-05-28,DOG,Boston Terrier,,U,False,Brooklyn,11215,2018
305,2018-06-13,DOG,Pit Bull,,U,False,Brooklyn,11203,2018
306,2018-06-11,DOG,BERNEDOODLE,,U,False,Brooklyn,11238,2018
307,2018-06-20,DOG,LARGE MIXED BREED,2,M,False,Brooklyn,11212,2018
308,2018-06-20,DOG,LARGE MIXED BREED,2,F,False,Brooklyn,0,2018
309,2018-06-18,DOG,PUG OR PIT BULL,,U,False,Brooklyn,11249,2018
310,2018-06-17,DOG,Pit Bull,,U,False,Brooklyn,11236,2018
311,2018-06-13,DOG,HOUND,,U,False,Brooklyn,11231,2018
312,2018-06-18,DOG,UNKNOWN,,U,False,Brooklyn,11221,2018
313,2018-06-16,DOG,AUSTRALIAN SHEPARD - POODLE MIX,4,M,False,Brooklyn,0,2018
314,2018-06-16,DOG,UNKNOWN,,U,False,Brooklyn,0,2018
315,2018-06-19,DOG,Pit Bull,,U,False,Brooklyn,11226,2018
316,2018-06-24,DOG,Maltese,9,F,True,Brooklyn,11212,2018
317,2018-06-18,DOG,UNCERTAIN,4,M,True,Brooklyn,11215,2018
318,2018-05-28,DOG,AUSTRALIAN CATTLE DOG,6,M,True,Brooklyn,11238,2018
319,2018-06-24,DOG,LARGE MIXED BREED,1,M,False,Brooklyn,11210,2018
320,2018-06-23,DOG,SMALL MIXED BREED,1,M,False,Brooklyn,11212,2018
321,2018-06-17,DOG,Pit Bull,,U,False,Brooklyn,0,2018
322,2018-06-19,DOG,UNKNOWN,,U,False,Brooklyn,0,2018
323,2018-06-21,DOG,SHIH TZU/MALTESE X,7,M,True,Brooklyn,11236,2018
324,2018-06-23,DOG,Cocker Spaniel,,U,False,Brooklyn,0,2018
325,2018-06-21,DOG,Boston Terrier,5,M,True,Brooklyn,11233,2018
326,2018-06-21,DOG,Cane Corso,7 YRS,M,False,Brooklyn,11223,2018
327,2018-06-24,DOG,MIXED,1,F,False,Brooklyn,11219,2018
328,2018-06-27,DOG,Chihuahua Crossbreed,2,M,False,Brooklyn,11219,2018
329,2018-06-22,DOG,UNKNOWN,,U,False,Brooklyn,11219,2018
330,2018-06-22,DOG,,,U,False,Brooklyn,11205,2018
331,2018-06-25,DOG,Siberian Husky,,U,False,Brooklyn,11229,2018
332,2018-06-16,DOG,German Shepherd,4,M,False,Brooklyn,11224,2018
333,2018-06-30,DOG,UNCERTAIN,,U,False,Brooklyn,11220,2018
334,2018-06-22,DOG,Labrador Retriever,1,M,True,Brooklyn,11209,2018
335,2018-06-27,DOG,CHORKIE,,U,False,Brooklyn,11204,2018
336,2018-06-21,DOG,Shiba Inu,3,F,True,Brooklyn,11223,2018
337,2018-06-22,DOG,German Shepherd,5,M,False,Brooklyn,11220,2018
338,2018-06-22,DOG,German Shepherd,5,M,False,Brooklyn,0,2018
