uniqueid,dateofbite,species,breed,age,gender,spayneuter,borough,zipcode,year
9568,2015-08-09,DOG,American Pit Bull Mix / Pit Bull Mix,2,M,False,Staten Island,10314,2015
9570,2015-08-07,DOG,MALSHI,1,F,False,Staten Island,10312,2015
9571,2015-07-30,DOG,American Pit Bull Mix / Pit Bull Mix,1,F,False,Staten Island,10308,2015
9573,2015-08-02,DOG,Boxer,5,M,False,Staten Island,10312,2015
9574,2015-08-15,DOG,Shih Tzu,,U,False,Staten Island,10308,2015
9583,2015-08-30,DOG,COCKER SPAN/ POODLE X,3,M,False,Staten Island,10314,2015
9587,2015-09-01,DOG,Shih Tzu,8,M,False,Staten Island,10312,2015
9594,2015-09-11,DOG,SHEPHERD,1,F,True,Staten Island,10314,2015
9598,2015-09-17,DOG,DASCHOUND,7,M,True,Staten Island,10314,2015
9607,2015-09-27,DOG,American Pit Bull Mix / Pit Bull Mix,5,M,False,Staten Island,10308,2015
9617,2015-10-09,DOG,Shih Tzu,2,M,False,Staten Island,10314,2015
9627,2015-10-26,DOG,Pit Bull,5,M,True,Staten Island,10312,2015
9628,2015-10-21,DOG,Pit Bull,,U,False,Staten Island,10314,2015
9632,2015-10-27,DOG,Chihuahua Crossbreed,4,M,True,Staten Island,10314,2015
9636,2015-10-30,DOG,Chihuahua,2018-04-05T00:00:00.000,F,True,Staten Island,10312,2015
9638,2015-11-06,DOG,ROTTWEILER/ SHEPHERD,2,M,True,Staten Island,10312,2015
9640,2015-11-05,DOG,Chow Chow,7,M,False,Staten Island,10312,2015
9649,2015-11-16,DOG,Chihuahua,,M,False,Staten Island,10314,2015
9660,2015-11-28,DOG,Pomeranian,5,M,True,Staten Island,10314,2015
9669,2015-12-16,DOG,AMERICAN BULL DOG,,U,False,Staten Island,10314,2015
9671,2015-12-20,DOG,Pit Bull,1,F,True,Staten Island,10314,2015
9675,2015-12-19,DOG,German Shepherd,6,F,False,Staten Island,10314,2015
9683,2016-01-01,DOG,German Shepherd,3,M,True,Staten Island,10314,2016
9692,2016-01-22,DOG,VICTORIAN BULLDOG,7M,M,True,Staten Island,10312,2016
9694,2016-01-23,DOG,Shih Tzu,3,M,True,Staten Island,10308,2016
9695,2016-01-23,DOG,Shih Tzu,3,M,True,Staten Island,10308,2016
9703,2016-02-16,DOG,BULL DOG PUG MIX,4,M,True,Staten Island,10314,2016
9707,2016-02-25,DOG,BOXER/CATTLE,5,M,False,Staten Island,10312,2016
9714,2016-03-01,DOG,PIT BULL/BOXER,1,M,True,Staten Island,10312,2016
9717,2016-03-19,DOG,Pit Bull,10M,M,False,Staten Island,10312,2016
9723,2016-03-19,DOG,Australian Shepherd,16,F,True,Staten Island,10314,2016
9727,2016-03-26,DOG,CAIRN TERRIER X,8,M,True,Staten Island,10308,2016
9733,2016-04-02,DOG,Bull dog,3,M,False,Staten Island,10308,2016
9735,2016-04-12,DOG,,,U,False,Staten Island,10312,2016
9740,2016-04-17,DOG,Rottweiler,6,M,True,Staten Island,10314,2016
9741,2016-04-14,DOG,Jack Russ,13,F,True,Staten Island,10314,2016
9745,2016-04-23,DOG,"Shar-Pei, Chinese",10,F,True,Staten Island,10312,2016
9747,2016-04-24,DOG,Pit Bull,,U,False,Staten Island,10312,2016
9750,2016-04-22,DOG,,,U,False,Staten Island,10308,2016
9751,2016-04-25,DOG,Pit Bull,,U,False,Staten Island,10314,2016
9753,2016-04-26,DOG,Labrador Retriever Crossbreed,4,M,True,Staten Island,10314,2016
9754,2016-04-27,DOG,SCHNAUZER/POODLE,4,F,True,Staten Island,10314,2016
9755,2016-04-30,DOG,Border Terrier,6,F,True,Staten Island,10312,2016
9756,2016-04-30,DOG,Boxer,3,M,False,Staten Island,10312,2016
9758,2016-04-29,DOG,GERMAN SHEPARD/ LABRADOR RETRIEVER X,16,F,True,Staten Island,10312,2016
9760,2016-04-24,DOG,PIT BULL,2,F,True,Staten Island,10308,2016
9765,2016-05-10,DOG,German Shepherd Crossbreed,12,F,True,Staten Island,10312,2016
9772,2016-05-09,DOG,Shih Tzu,12,M,True,Staten Island,10312,2016
9773,2016-05-20,DOG,"Collie, Bearded",8,M,True,Staten Island,10314,2016
9774,2016-05-20,DOG,Shih Tzu,6,M,True,Staten Island,10314,2016
9776,2016-05-23,DOG,Pit Bull,2,F,True,Staten Island,10312,2016
9781,2016-05-30,DOG,,,U,False,Staten Island,10312,2016
9787,2016-05-29,DOG,German Shepherd,,U,False,Staten Island,10308,2016
9788,2016-06-10,DOG,Chihuahua,,U,False,Staten Island,10314,2016
9790,2016-06-12,DOG,Pit Bull,,U,False,Staten Island,10314,2016
9791,2016-06-12,DOG,Pit Bull,,U,False,Staten Island,10314,2016
9801,2016-06-21,DOG,SHEPERD,,U,False,Staten Island,10314,2016
9818,2016-07-01,DOG,MUTT - TERR X,5,M,True,Staten Island,10314,2016
9828,2016-06-19,DOG,Jack Russ,,U,False,Staten Island,10314,2016
9835,2016-07-22,DOG,German Shepherd,15,M,False,Staten Island,10312,2016
9836,2016-07-23,DOG,Mixed/Other,4,M,True,Staten Island,10314,2016
9847,2016-08-05,DOG,Rottweiler,,U,False,Staten Island,10314,2016
9850,2016-07-27,DOG,Cocker Spaniel,,U,False,Staten Island,10312,2016
9853,2016-08-14,DOG,Boxer,3,M,False,Staten Island,10312,2016
9858,2016-07-25,DOG,German Shepherd,6,F,True,Staten Island,10314,2016
9860,2016-08-16,DOG,Mixed/Other,,U,False,Staten Island,10314,2016
9868,2016-08-22,DOG,Boxer,4,F,True,Staten Island,10308,2016
9873,2016-03-26,DOG,Pit Bull,3,M,True,Staten Island,10314,2016
9875,2016-09-06,DOG,TERRIER X,2,M,False,Staten Island,10314,2016
9879,2016-09-06,DOG,Labrador Retriever,4,F,True,Staten Island,10314,2016
9886,2016-09-04,DOG,Labrador Retriever,11M,M,False,Staten Island,10314,2016
9892,2016-09-16,DOG,German Shepherd,,U,False,Staten Island,10314,2016
9894,2016-09-14,DOG,TERRIER,,U,False,Staten Island,10312,2016
9896,2016-09-26,DOG,Boston Terrier,11,F,True,Staten Island,10314,2016
9899,2016-09-24,DOG,MUTT,3,M,True,Staten Island,10312,2016
9907,2016-10-10,DOG,MIXED,13,M,True,Staten Island,10308,2016
9908,2016-10-10,DOG,MIXED,13,M,True,Staten Island,10308,2016
9919,2016-10-20,DOG,Maltese,,U,False,Staten Island,10314,2016
9924,2016-10-29,DOG,Beagle,6,M,False,Staten Island,10308,2016
9926,2016-10-20,DOG,Puggle,10,M,False,Staten Island,10312,2016
9933,2016-11-07,DOG,Shih Tzu,4,M,True,Staten Island,10312,2016
9936,2016-11-01,DOG,Chihuahua,8,M,True,Staten Island,10314,2016
9937,2016-11-05,DOG,BOXER MIX,1,M,True,Staten Island,10314,2016
9946,2016-11-28,DOG,"Mastiff, Bull",7,M,True,Staten Island,10312,2016
9955,2016-11-28,DOG,Weimaraner,2,F,False,Staten Island,10312,2016
9958,2016-11-30,DOG,Weimaraner,2,F,True,Staten Island,10312,2016
9966,2016-12-18,DOG,Mixed/Other,1,F,False,Staten Island,10308,2016
9967,2016-12-23,DOG,Beagle Crossbreed,2,M,False,Staten Island,10308,2016
9969,2016-12-25,DOG,Wheaton Terrier,,F,False,Staten Island,10312,2016
9970,2016-12-24,DOG,MUTT,6,M,True,Staten Island,10312,2016
9973,2016-12-31,DOG,Pug,9,F,True,Staten Island,10308,2016
9977,2017-01-01,DOG,Pit Bull,,U,False,Staten Island,10314,2017
9978,2016-12-29,DOG,American Staffordshire Terrier,2.5,F,True,Staten Island,10308,2016
9987,2017-01-15,DOG,TERRIER,,U,False,Staten Island,10308,2017
9991,2017-01-18,DOG,Pit Bull,,M,False,Staten Island,10308,2017
9992,2017-01-28,DOG,PIT BULL MIX,3,M,True,Staten Island,10308,2017
9995,2017-01-31,DOG,Beagle,7,M,True,Staten Island,10314,2017
9996,2017-02-01,DOG,German Shepherd,10,M,True,Staten Island,10314,2017
9998,2017-02-06,DOG,Pit Bull,,M,False,Staten Island,10312,2017
10001,2017-02-06,DOG,Yorkshire Terrier,6MTH,M,True,Staten Island,10312,2017
10006,2017-02-16,DOG,,,U,False,Staten Island,10314,2017
10008,2017-02-18,DOG,BRUSSEL/PU,6,M,True,Staten Island,10314,2017
10009,2017-02-20,DOG,Pit Bull,,U,False,Staten Island,10314,2017
10014,2017-02-24,DOG,Beagle,1,F,False,Staten Island,10314,2017
10017,2017-02-27,DOG,Jack Russ,3,F,False,Staten Island,10312,2017
10022,2017-02-28,DOG,Jack Russ,11,M,True,Staten Island,10312,2017
10026,2017-03-20,DOG,SHEPERD,,U,False,Staten Island,10314,2017
10027,2017-03-21,DOG,Boston Terrier,10,M,True,Staten Island,10314,2017
10030,2017-03-21,DOG,PEKINGESE /POODIE MIX,12,M,True,Staten Island,10314,2017
10032,2017-03-15,DOG,PIT BULL / BEAGLE MIX,6,M,True,Staten Island,10312,2017
10034,2017-03-21,DOG,Labrador Retriever,3,M,True,Staten Island,10312,2017
10035,2017-03-23,DOG,Scottish Terrier,8,M,True,Staten Island,10314,2017
10037,2017-03-24,DOG,Pit Bull,,F,False,Staten Island,10314,2017
10042,2017-03-28,DOG,TERRIER,,U,False,Staten Island,10308,2017
10046,2017-04-03,DOG,Pit Bull,,U,False,Staten Island,10314,2017
10047,2017-04-08,DOG,CHIHUAHUA MIX,1,M,True,Staten Island,10314,2017
10049,2017-04-08,DOG,Yorkshire Terrier,,U,False,Staten Island,10312,2017
10051,2017-04-09,DOG,PUG MIX,3M,F,False,Staten Island,10312,2017
10054,2017-04-11,DOG,Pit Bull,5,F,True,Staten Island,10314,2017
10063,2017-04-16,DOG,Pit Bull,1,M,True,Staten Island,10308,2017
10066,2017-04-02,DOG,Mixed/Other,3,M,True,Staten Island,10312,2017
10070,2017-05-02,DOG,BOSTEN TERRIER/ FRENCH BULL DOG,8,M,True,Staten Island,10314,2017
10072,2017-04-30,DOG,BEAVER TERRIERS,,M,True,Staten Island,10314,2017
10075,2017-05-06,DOG,LABRADOR/STAFFORDSHIRE,1,M,True,Staten Island,10314,2017
10076,2017-05-07,DOG,Chihuahua Crossbreed,1,M,True,Staten Island,10314,2017
10079,2017-04-27,DOG,Shiba Inu,5,F,False,Staten Island,10308,2017
10092,2017-05-23,DOG,German Shepherd,1,M,False,Staten Island,10314,2017
10093,2017-05-26,DOG,Labrador Retriever,4,M,True,Staten Island,10314,2017
10097,2017-05-31,DOG,Pit Bull,4,M,True,Staten Island,10314,2017
10099,2017-06-05,DOG,American Staffordshire Terrier,1,F,False,Staten Island,10314,2017
10100,2017-06-05,DOG,Siberian Husky,,M,False,Staten Island,10312,2017
10106,2017-06-08,DOG,Miniature Pinscher,13,M,True,Staten Island,10308,2017
10108,2017-06-07,DOG,MIXED BREED,3,M,True,Staten Island,10312,2017
10109,2017-06-08,DOG,Pit Bull,,M,False,Staten Island,10312,2017
10112,2017-06-10,DOG,Great Dane,,M,False,Staten Island,10312,2017
10117,2017-06-20,DOG,Pit Bull,3,M,True,Staten Island,10314,2017
10120,2017-06-22,DOG,Shiba Inu,11W,M,False,Staten Island,10314,2017
10121,2017-06-22,DOG,German Shepherd,7,M,True,Staten Island,10314,2017
10123,2017-06-23,DOG,,,U,False,Staten Island,10312,2017
10126,2017-06-25,DOG,Rottweiler,4,F,True,Staten Island,10314,2017
10127,2017-06-22,DOG,GOLDEN RETRIEVER/ BASSET HOUND,3,M,True,Staten Island,10312,2017
10129,2017-07-02,DOG,Chihuahua,,U,False,Staten Island,10314,2017
10130,2017-07-01,DOG,"Collie, Rough Coat",5,M,False,Staten Island,10312,2017
10131,2017-07-03,DOG,STAFFORDSHIRE BULL TERRIER,3,M,False,Staten Island,10314,2017
10132,2017-06-26,DOG,Boxer,5,F,True,Staten Island,10308,2017
10138,2017-07-04,DOG,PIT BULL MIX,7,F,False,Staten Island,10314,2017
10139,2017-07-11,DOG,Pit Bull,,U,False,Staten Island,10312,2017
10140,2017-07-16,DOG,German Shepherd,,U,False,Staten Island,10314,2017
10143,2017-07-21,DOG,Chihuahua,3,M,True,Staten Island,10314,2017
10146,2017-07-24,DOG,Rottweiler,9,M,False,Staten Island,10312,2017
10151,2017-08-01,DOG,German Shepherd,1,M,True,Staten Island,10314,2017
10156,2017-07-20,DOG,Mixed/Other,7,M,True,Staten Island,10312,2017
10157,2017-07-21,DOG,Chihuahua,8,M,False,Staten Island,10314,2017
10162,2017-08-05,DOG,Pit Bull,2,M,True,Staten Island,10312,2017
10164,2017-08-04,DOG,Chihuahua,6,M,False,Staten Island,10314,2017
10165,2017-08-10,DOG,Beagle,15,M,True,Staten Island,10314,2017
10166,2017-08-10,DOG,Mixed/Other,8,M,True,Staten Island,10308,2017
10180,2017-08-23,DOG,Pit Bull,1,M,True,Staten Island,10312,2017
10186,2017-08-30,DOG,Yorkshire Terrier,3,M,True,Staten Island,10314,2017
10198,2017-09-01,DOG,Labrador Retriever,2,M,True,Staten Island,10308,2017
10199,2017-06-20,DOG,,,U,False,Staten Island,10314,2017
10201,2017-09-10,DOG,SHITZU MIX,4,M,True,Staten Island,10312,2017
10203,2017-09-17,DOG,Pit Bull,,M,False,Staten Island,10312,2017
10206,2017-09-20,DOG,Bull dog,,U,False,Staten Island,10312,2017
10208,2017-09-24,DOG,Shih Tzu,9,M,True,Staten Island,10314,2017
10209,2017-09-29,DOG,,,F,False,Staten Island,10314,2017
10210,2017-10-01,DOG,Dachshund Smooth Coat,13,M,False,Staten Island,10312,2017
10213,2017-10-03,DOG,LABORADOR MASTIFF,3,M,True,Staten Island,10308,2017
10219,2017-10-04,DOG,Golden Retriever,10M,M,False,Staten Island,10312,2017
10224,2017-10-15,DOG,Rottweiler,5M,M,False,Staten Island,10314,2017
10225,2017-10-16,DOG,Pomeranian,6,F,True,Staten Island,10312,2017
10226,2017-10-19,DOG,Yorkshire Terrier,,U,False,Staten Island,10312,2017
10227,2017-10-18,DOG,Labrador Retriever,2,M,True,Staten Island,10308,2017
10229,2017-10-20,DOG,American Staffordshire Terrier,6,M,True,Staten Island,10312,2017
10234,2017-10-29,DOG,Shih Tzu,4,F,False,Staten Island,10314,2017
10237,2017-11-03,DOG,Lhasa Apso,,F,False,Staten Island,10308,2017
10238,2017-10-22,DOG,BEAGLE MIXED,1,M,True,Staten Island,10312,2017
10239,2017-11-05,DOG,West High White Terrier,4,M,True,Staten Island,10312,2017
10240,2017-11-04,DOG,Yorkshire Terrier,5,M,True,Staten Island,10314,2017
10241,2017-11-02,DOG,MEDIUM MIXED BREED,4,M,False,Staten Island,10312,2017
10243,2017-11-06,DOG,Norfolk Terrier,7,M,True,Staten Island,10314,2017
10244,2017-11-06,DOG,Cocker Spaniel,10,M,True,Staten Island,10312,2017
10245,2017-11-08,DOG,,,U,False,Staten Island,10312,2017
10246,2017-11-07,DOG,SHIH TZU HABANESE MIX,9M,M,True,Staten Island,10312,2017
10247,2017-11-15,DOG,American Pit Bull Mix / Pit Bull Mix,1Y,M,False,Staten Island,10314,2017
10249,2017-11-10,DOG,BOXER & PIT BULL MIX,2,F,False,Staten Island,10314,2017
10250,2017-11-19,DOG,Cane Corso,2,M,True,Staten Island,10314,2017
10252,2017-11-16,DOG,Maltese,4,M,True,Staten Island,10312,2017
10253,2017-11-23,DOG,PIT BULL MIX,1,F,True,Staten Island,10308,2017
10254,2017-11-27,DOG,German Shepherd,,U,False,Staten Island,10314,2017
10255,2017-11-28,DOG,BOXER/ PIT BULL MIX,2,M,True,Staten Island,10314,2017
10259,2017-12-10,DOG,Shih Tzu,1,M,True,Staten Island,10312,2017
10273,2017-12-09,DOG,MUTT,,M,False,Staten Island,10312,2017
10278,2017-12-21,DOG,"Schnauzer, Miniature",10M,M,True,Staten Island,10312,2017
10279,2017-12-28,DOG,Mixed/Other,,F,False,Staten Island,10308,2017
10280,2017-12-29,DOG,BOXER/PIT BULL,,M,False,Staten Island,10314,2017
